Username,SteamID,Steam Profile URL,Logs,Wins-Losses-Ties,Winrate,Rounds Won-Lost-Tied,Round winrate,Kills,Deaths,Assists,Time played,Damage,Damage taken,Heals received,Airshots,Medkit score,Healing from medkits,Backstabs,Headshots,Headshot kills,Sentry score,Healing,Capture points captured,Intelligences captured,Übers,Drops,Advantages lost,Deaths after über,Deaths before über,Kills per 30 minutes,Deaths per 30 minutes,Assists per 30 minutes,Damage per minute,Damage taken per minute,Heals received per minute,Airshots per 30 minutes,Medkit score per 30 minutes,Healing from medkits per minute,Backstabs per 30 minutes,Headshots per 30 minutes,Headshot kills per 30 minutes,Sentry score per 30 minutes,Capture points captured per 30 minutes,Intelligences captured per 30 minutes,Healing per minute,Übers per 30 minutes,Drops per 30 minutes,Advantages lost per 30 minutes,Deaths after über per 30 minutes,Deaths before über per 30 minutes
Jookson,76561198413604994,https://steamcommunity.com/profiles/76561198413604994,1082,573-485-24,54.07%,1331-1192-50,52.70%,"9,826","10,969","9,497",312:56:22,"3,664,973","6,441,192","3,358,553",28,"7,265","272,304",0,0,0,0,"5,258,976","1,677",0,"2,012",260,457,539,60,15.7,17.5,15.2,195,343,179,0.0,11.6,14.5,0.0,0.0,0.0,0.0,2.7,0.0,280,3.2,0.4,0.7,0.9,0.1
Gonna Fly Now,76561198856538058,https://steamcommunity.com/profiles/76561198856538058,2116,1064-923-129,53.33%,3628-3236-450,52.68%,"34,209","26,840","11,975",699:01:45,"14,586,084","12,327,768","10,304,912","1,223","47,836","1,582,311",340,0,107,0,"1,216,933","6,447",0,417,59,54,96,17,24.5,19.2,8.6,348,294,246,0.9,34.2,37.7,0.2,0.0,0.1,0.0,4.6,0.0,29,0.3,0.0,0.0,0.1,0.0
Pablo E²,76561198357313490,https://steamcommunity.com/profiles/76561198357313490,1012,529-449-34,53.95%,1147-1018-29,52.94%,"14,962","14,536","2,928",294:43:17,"5,274,814","3,111,119","829,313",22,"17,770","387,188","6,932",0,300,0,"68,878",929,20,15,8,5,6,0,25.4,24.7,5.0,298,176,47,0.0,30.1,21.9,11.8,0.0,0.5,0.0,1.6,0.0,4,0.0,0.0,0.0,0.0,0.0
BAN PLAIDINUM,76561198294278902,https://steamcommunity.com/profiles/76561198294278902,2331,1140-1094-97,50.99%,3221-3147-319,50.55%,"34,747","31,252","10,819",673:21:44,"10,733,505","8,658,708","4,909,864","1,313","69,494","2,442,114",262,0,125,0,"615,728","2,509",0,202,25,25,59,12,25.8,23.2,8.0,266,214,122,1.0,51.6,60.4,0.2,0.0,0.1,0.0,1.9,0.0,15,0.1,0.0,0.0,0.0,0.0
eviltech,76561198385624950,https://steamcommunity.com/profiles/76561198385624950,1598,790-721-87,52.16%,2511-2333-257,51.74%,"23,326","17,721","10,091",514:37:10,"7,460,567","6,508,338","4,430,375",76,"13,297","324,722",151,0,"7,932",0,"1,732,458","5,216",1,605,57,73,131,17,22.7,17.2,9.8,242,211,143,0.1,12.9,10.5,0.1,0.0,7.7,0.0,5.1,0.0,56,0.6,0.1,0.1,0.1,0.0
pops8790,76561198303081758,https://steamcommunity.com/profiles/76561198303081758,2194,1134-918-142,54.92%,4930-4142-635,54.06%,"30,401","30,229","16,259",771:12:33,"10,904,647","10,931,639","18,844,533",535,"37,999","1,269,033",177,0,308,0,"6,156,805","7,917",42,"2,352",261,253,628,79,19.7,19.6,10.5,236,236,407,0.3,24.6,27.4,0.1,0.0,0.2,0.0,5.1,0.0,133,1.5,0.2,0.2,0.4,0.1
bobby watterson,76561199134462656,https://steamcommunity.com/profiles/76561199134462656,1727,874-738-115,53.94%,3736-3255-541,53.19%,"24,874","21,070","8,857",606:31:37,"8,219,175","7,786,710","6,638,486",640,"54,543","1,876,890",148,0,396,0,"1,527,513","5,087",6,570,72,66,182,19,20.5,17.4,7.3,226,214,182,0.5,45.0,51.6,0.1,0.0,0.3,0.0,4.2,0.0,42,0.5,0.1,0.1,0.2,0.0
Sunshine,76561198885528098,https://steamcommunity.com/profiles/76561198885528098,1400,777-503-120,59.79%,3214-2330-514,57.30%,"27,675","17,441","9,722",499:26:39,"8,459,354","5,861,442","4,969,154",353,"31,093","881,321",11,0,"3,490",0,"323,848","7,676",0,100,6,17,24,8,27.7,17.5,9.7,282,196,166,0.4,31.1,29.4,0.0,0.0,3.5,0.0,7.7,0.0,11,0.1,0.0,0.0,0.0,0.0
cookiegenius2398,76561198970759258,https://steamcommunity.com/profiles/76561198970759258,1230,668-499-63,56.87%,2247-1765-244,55.66%,"13,409","13,055","9,838",399:21:19,"4,569,779","4,710,623","3,102,242",114,"17,926","514,332",97,0,80,0,"2,852,554","4,165",16,"1,201",80,110,313,33,16.8,16.3,12.3,191,197,129,0.1,22.4,21.5,0.1,0.0,0.1,0.0,5.2,0.0,119,1.5,0.1,0.1,0.4,0.0
meatballfreak,76561198374236066,https://steamcommunity.com/profiles/76561198374236066,2938,1723-1031-184,61.78%,6403-4438-781,58.45%,"41,886","42,986","17,969",1024:10:33,"15,529,250","13,636,570","19,444,167","1,160","87,744","2,920,922","2,454",0,546,0,"6,515,468","6,998",34,"2,658",234,277,619,77,20.4,21.0,8.8,253,222,316,0.6,42.8,47.5,1.2,0.0,0.3,0.0,3.4,0.0,106,1.3,0.1,0.1,0.3,0.0
